alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0.763159,0,0,0.236841,0.809586,0,0,0.190414,0,1,0,0,0.061847,0.043566,0.014921,0.047751,0.029956,0.002008,0.000575,-0.000048,0.105413,0.076768,0.058486,1.419635,4.14509,2.919829,360.01648,257.678805,0.020056,4,2,0.684309,0.714607,0.978934,1.848334,4.106056,a4c
0,0.813651,0.186349,0,0,0.819902,0.180098,0,0,0.89002,0.09661,0.01337,0.058963,0.055951,0.025575,0.038004,0.038255,-0.002224,0.001602,0,0.114914,0.084538,0.081526,1.053838,2.305527,2.187744,149.572295,161.604197,0.023753,3,6,1.260816,0.68303,2.05618,4.125668,9.69695,a4c
0.004744,0.002118,0,0.993138,0,0.254509,0,0.745491,0,1,0,0,0.064231,0.061425,0.019391,0.050768,0.049963,0.003825,-0.000744,0.000064,0.125656,0.083622,0.080816,1.045687,3.312402,3.167681,293.302085,237.398113,0.022886,3,4,0.972249,0.847639,1.663749,3.988145,11.39538,a4c
0,1,0,0,0,1,0,0,0,0.800135,0.199865,0,0.058542,0.057509,0.020184,0.039248,0.040136,-0.000573,-0.002594,0.00004,0.116051,0.078725,0.077693,1.017952,2.900456,2.849304,391.06604,295.880871,0.019905,3,4,0.985216,0.701852,1.46324,2.848218,6.601032,a4c
0,0.922486,0,0.077514,0,0.897362,0,0.102638,0.560545,0.439455,0,0,0.055259,0.046594,0.016564,0.043865,0.038583,0.000133,0.000205,0.000066,0.101853,0.071823,0.063158,1.185968,3.336072,2.812954,203.819005,156.820862,0.016469,4,6,0.84453,0.670329,1.162566,2.056364,4.139203,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.062402,0.044645,0.01412,0.03468,0.028914,-0.000954,-0.001595,0.000063,0.107047,0.076522,0.058765,1.397731,4.419406,3.161843,244.628626,146.513654,0.013946,4,4,0.960618,0.653913,1.350383,2.408328,4.932879,a4c
0.010022,0.989978,0,0,0,1,0,0,0,1,0,0,0.0652,0.055516,0.018773,0.048725,0.042204,0.002667,-0.008265,0.000132,0.120716,0.083974,0.074289,1.174451,3.473024,2.957147,261.534808,210.11644,0.019966,4,5,0.892159,0.762197,1.376883,2.92697,7.446977,a4c
0,0.922325,0.077675,0,0,0.869245,0.130755,0,0.108409,0.891591,0,0,0.058936,0.046473,0.013161,0.029327,0.023176,0.002166,-0.002495,-0.000032,0.105408,0.072097,0.059634,1.268179,4.478004,3.531052,144.002356,131.195284,0.012296,4,4,0.901798,0.732454,1.34972,2.681362,6.192113,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.078867,0.058779,0.019317,0.051034,0.041549,-0.001071,-0.001071,0.000003,0.137646,0.098185,0.078096,1.341771,4.082794,3.042839,216.086168,98.766551,0.020323,3,4,1.145633,0.879778,2.086473,5.198538,15.390204,a4c
0,1,0,0,0,1,0,0,0.222731,0.158413,0.316852,0.302004,0.048872,0.051128,0.021998,0.036887,0.040257,-0.00107,0.004186,-0.00009,0.1,0.07087,0.073126,0.955876,2.221659,2.324213,164.315075,126.254282,0.024938,2,3,1.086016,0.744356,1.733489,3.653989,9.363192,a4c
0.181407,0,0,0.818593,0.476615,0,0,0.523385,1,0,0,0,0.046659,0.037486,0.014719,0.033541,0.024451,-0.000332,0.00068,-0.000034,0.084145,0.061377,0.052205,1.244693,3.170065,2.546865,235.08514,234.85329,0.018744,2,3,0.714615,0.733768,1.049083,2.136972,5.500767,a4c
0.272933,0.55719,0.169878,0,0.189845,0.578197,0.231958,0,0,1,0,0,0.061139,0.051521,0.014495,0.039356,0.034647,-0.001988,-0.005887,-0.000013,0.11266,0.075634,0.066016,1.186688,4.218027,3.554453,178.828316,149.043923,0.015266,3,4,0.781059,0.633011,1.01075,1.667532,3.146129,a4c
1,0,0,0,1,0,0,0,0,1,0,0,0.06252,0.048546,0.018543,0.030525,0.025444,-0.001452,-0.000882,-0.000049,0.111066,0.081062,0.067088,1.287857,3.371703,2.618072,211.265322,163.487116,0.018605,2,3,0.93827,0.754405,1.449469,3.032888,7.64509,a4c
0,0.595439,0.404561,0,0,0.724961,0.275039,0,0.208201,0.791799,0,0,0.05782,0.046988,0.01942,0.049753,0.043095,0.001818,-0.004909,-0.000079,0.104808,0.07724,0.066409,1.230513,2.97728,2.419544,202.304175,89.203862,0.019883,4,2,0.941421,0.756091,1.457939,2.962988,7.155188,a4c
0.064502,0.773654,0,0.161844,0.144094,0.648985,0,0.206921,0.429166,0.570834,0,0,0.056355,0.045154,0.015206,0.042032,0.034266,-0.002045,0.000745,-0.000075,0.101509,0.071561,0.06036,1.248059,3.706093,2.969486,349.91143,184.756721,0.018362,27,5,0.776013,0.725616,1.128708,2.228656,5.390074,a4c
0,0.855511,0.144489,0,0,1,0,0,0,0.761472,0.165243,0.073285,0.057129,0.056137,0.021349,0.029201,0.031282,-0.003865,0.004955,0.000008,0.113266,0.078478,0.077486,1.017672,2.675921,2.629452,277.023662,224.937952,0.019453,4,3,1.106743,0.624447,1.614809,2.884842,5.948098,a4c
